Name,Daily_Returns,Risk,cluster
CME,0.014462416745956164,0.013243079035235016,1
CMG,-0.10554332468044558,0.028688840257750755,2
CMI,-0.01195447005662642,0.014282177428174543,1
CMS,0.0,0.010489811384472752,1
CNC,0.006848654384103314,0.017674889009476412,0
CNP,0.001519756838905817,0.011820431116076915,1
COF,-0.003250711093051528,0.014501920783115393,1
COG,-0.050000000000000044,0.02179884334267074,2
COL,0.0028143978669825653,0.007529739047255681,1
COO,0.005190160502442476,0.013863726014591612,1
COP,-0.005541651769753186,0.015390407047605281,1
COST,-0.009837306091562636,0.013694120459059449,1
COTY,0.002868617326448719,0.01988881460203522,0
CPB,-0.007532122286220688,0.01623867643406926,1
CRM,0.004380761157251056,0.011842252799690995,1
CSCO,0.0042320139407519,0.017329189488571522,0
CSRA,0.026186579378068675,0.01754221318098548,0
CSX,-0.01579338535860275,0.019442803291096388,4
CTAS,0.001598976654940909,0.011939143393567688,1
CTL,-0.0005858230814295151,0.022382784875578772,0
CTSH,0.03545331529093354,0.013048738974710492,0
CTXS,-0.017055655296229877,0.011169540993970826,1
CVS,0.00445825452580384,0.01686114563529344,0
CVX,-0.016129032258064502,0.021494394228827502,2
CXO,-0.006373700100637536,0.013697912085085329,1
D,-0.004722709485899257,0.009174251281448187,1
DAL,0.01412429378531077,0.023578505203671104,0
DE,-0.002718062762540163,0.016661286490115508,1
DFS,0.0064355135277121,0.016044539679969144,0
DG,0.0028688524590163578,0.01611285160768433,0
DGX,-0.005438544447740501,0.011673989625265748,1
DHI,0.0039037085230968493,0.021365987006247714,0
DHR,-0.018547140649149862,0.016409753518698195,4
DIS,-0.013280587736648752,0.013666526894193825,1
DISCA,-0.030201342281879096,0.030652389920344705,2
DISCK,-0.03133274492497795,0.030523809969035455,2
DISH,0.041089566020313883,0.022121187603532686,0
DLR,-0.0031578947368421373,0.02031251515611488,0
DLTR,-0.01641168289290673,0.01755225409451591,4
DOV,0.000901532605429356,0.015090530346877575,1
DPS,-0.0029573299535275988,0.0480709270563859,3
DRE,-0.0058777429467083975,0.015059539949079359,1
